PARTITION_DATE,AGENT_ID,HOST,BLOCKED,DEAD,IDLE,PAGING,RUNNING,SLEEPING,STOPPED,TOTAL,TOTAL_THREADS,UNKNOWN,ZOMBIES
20181102145050,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102145050,iris-client_020,iris-client,,,,,1.0,820.0,,821.0,3417.0,,
20181102145050,WIKI_005,WIKI,,,,,,168.0,,168.0,209.0,,
20181102145050,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102145050,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102145050,ivytest_018,ivytest,,,,,1.0,551.0,,552.0,2336.0,,
20181102145100,demo_data_02,gcs3,,,,,,301.0,,301.0,706.0,,
20181102145100,demo_data_07,mhost6,,,,,,415.0,,415.0,1037.0,,
20181102145100,demo_data_01,gcs2,,,,,,309.0,,309.0,815.0,,
20181102145100,demo_data_09,iris-m01,,,,,,416.0,,416.0,954.0,,
20181102145100,demo_data_03,gcs4,,,,,1.0,304.0,,305.0,748.0,,
20181102145100,demo_data_06,gcs7,,,,,,306.0,,306.0,738.0,,
20181102145100,demo_data_08,mhost7,,,,,,418.0,,418.0,1165.0,,
20181102145100,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102145100,demo_data_04,gcs5,,,,,,316.0,,316.0,828.0,,
20181102145100,demo_data_05,gcs6,,,,,,300.0,,300.0,679.0,,
20181102145120,gaia-master_001,add-m01,,,,,,310.0,,315.0,3592.0,,5.0
20181102144800,fsec02_008,fsec02,,,,,1.0,240.0,,241.0,553.0,,
20181102145130,gaia-slave2_003,gaia-slave2,,,,,,203.0,,210.0,1911.0,,7.0
20181102144320,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102144950,fsec03_012,fsec03,,,,,,233.0,,233.0,515.0,,
20181102145150,gaia-slave1_002,gaia-slave1,,,,,,284.0,,292.0,2060.0,,8.0
20181102144720,NetMon_004,NetMon,,,,,,264.0,,264.0,366.0,,
20181102145400,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102145140,nv-acc-01_015,nv-acc-01,,,,,,334.0,,334.0,1103.0,,
20181102144640,fsec01_007,fsec01,,,,,,500.0,,500.0,2673.0,,
20181102145740,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1156.0,,
20181102144130,nv-acc-02_016,nv-acc-02,,,,,,316.0,,316.0,539.0,,
20181102145100,KVMHost02_014,KVMHost02,,,,,1.0,555.0,,557.0,1171.0,,1.0
20181102145100,hadoop03_011,hadoop03,,,,,,244.0,,244.0,356.0,,
20181102145100,kvm-host3_019,kvm-host3,,,,,,522.0,,522.0,669.0,,
20181102145100,KVMHost01_013,KVMHost01,,,,,1.0,874.0,,875.0,1157.0,,
20181102145100,wiki_006,wiki,,,,,,215.0,,215.0,499.0,,
20181102145100,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102145100,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102145100,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102145100,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102145100,WIKI_005,WIKI,,,,,,168.0,,168.0,209.0,,
20181102145100,ivytest_018,ivytest,,,,,2.0,549.0,,551.0,2335.0,,
20181102145100,hadoop02_010,hadoop02,,,,,,244.0,,244.0,358.0,,
20181102145110,demo_data_02,gcs3,,,,,1.0,300.0,,301.0,706.0,,
20181102145110,demo_data_07,mhost6,,,,,,415.0,,415.0,1037.0,,
20181102145110,demo_data_01,gcs2,,,,,,309.0,,309.0,816.0,,
20181102145110,demo_data_06,gcs7,,,,,,309.0,,309.0,908.0,,
20181102145110,demo_data_03,gcs4,,,,,1.0,305.0,,306.0,748.0,,
20181102145110,demo_data_09,iris-m01,,,,,1.0,415.0,,416.0,954.0,,
20181102145110,demo_data_08,mhost7,,,,,1.0,417.0,,418.0,1165.0,,
20181102145110,docker_host_03,iris-s02,,,,,,302.0,,302.0,484.0,,
20181102145110,demo_data_04,gcs5,,,,,,316.0,,316.0,828.0,,
20181102145110,demo_data_05,gcs6,,,,,,301.0,,301.0,680.0,,
20181102145130,gaia-master_001,add-m01,,,,,,310.0,,315.0,3593.0,,5.0
20181102144810,fsec02_008,fsec02,,,,,2.0,239.0,,241.0,553.0,,
20181102145140,gaia-slave2_003,gaia-slave2,,,,,,203.0,,210.0,1911.0,,7.0
20181102144330,nv-acc-03_017,nv-acc-03,,,,,,292.0,,292.0,494.0,,
20181102145000,fsec03_012,fsec03,,,,,,234.0,,234.0,516.0,,
20181102145200,gaia-slave1_002,gaia-slave1,,,,,1.0,283.0,,292.0,2060.0,,8.0
20181102144730,NetMon_004,NetMon,,,,,,264.0,,264.0,366.0,,
20181102145410,iris-d02_022,iris-d02,,,,,,202.0,,202.0,303.0,,
20181102145150,nv-acc-01_015,nv-acc-01,,,,,,334.0,,334.0,1103.0,,
20181102144650,fsec01_007,fsec01,,,,,1.0,497.0,,498.0,2671.0,,
20181102145750,iris-d03_023,iris-d03,,,,,,439.0,,439.0,1162.0,,
20181102144140,nv-acc-02_016,nv-acc-02,,,,,,316.0,,316.0,539.0,,
20181102145110,KVMHost02_014,KVMHost02,,,,,1.0,554.0,,556.0,1170.0,,1.0
20181102145110,hadoop03_011,hadoop03,,,,,,244.0,,244.0,356.0,,
20181102145110,KVMHost01_013,KVMHost01,,,,,,875.0,,875.0,1174.0,,
20181102145110,iris-d01_021,iris-d01,,,,,,330.0,,330.0,983.0,,
20181102145110,wiki_006,wiki,,,,,,215.0,,215.0,499.0,,
20181102145110,docker_host_02,iris-s01,,,,,,287.0,,287.0,436.0,,
20181102145110,kvm-host3_019,kvm-host3,,,,,1.0,521.0,,522.0,681.0,,
20181102145110,WIKI_005,WIKI,,,,,1.0,167.0,,168.0,209.0,,
20181102145110,ivytest_018,ivytest,,,,,1.0,554.0,,555.0,2339.0,,
20181102145110,iris-client_020,iris-client,,,,,,821.0,,821.0,3417.0,,
20181102145110,hadoop01_009,hadoop01,,,,,,210.0,,210.0,479.0,,
20181102145110,hadoop02_010,hadoop02,,,,,1.0,243.0,,244.0,358.0,,
20181102145120,demo_data_02,gcs3,,,,,,301.0,,301.0,706.0,,
20181102145120,demo_data_01,gcs2,,,,,,309.0,,309.0,815.0,,
